tile_width,tile_height,min_active_pixels,num_images,sparse_ms,dense_masked_ms,dense_unmasked_ms,active_tiles,active_ratio,sparse_vs_dense_masked_mean_abs_diff,sparse_vs_dense_masked_max_abs_diff,dense_masked_vs_unmasked_mean_abs_diff,dense_masked_vs_unmasked_max_abs_diff,sparse_vs_unmasked_mean_abs_diff,sparse_vs_unmasked_max_abs_diff,sparse_top1_acc,sparse_top5_acc,dense_masked_top1_acc,dense_masked_top5_acc,dense_unmasked_top1_acc,dense_unmasked_top5_acc,sparse_vs_dense_masked_pred_agreement,dense_masked_vs_unmasked_pred_agreement,sparse_vs_unmasked_pred_agreement
17,14,3,50000,7.463746063096332,2.340169373676472,1.5771160475697252,96.6567,0.604104375,2.6346948990576258e-05,0.203994482755661,0.0010146127853428635,0.999259352684021,0.0010146127994440529,0.9992954730987549,43.368,63.782,43.342,63.78,66.82,87.514,97.904,48.346,48.378
17,15,3,50000,9.415506643376721,2.6136926783149828,1.8164873559956323,94.69158,0.591822375,2.5848528976192907e-05,0.1921355128288269,0.0010146127853428635,0.999259352684021,0.0010146626943394587,0.9992706179618835,43.354,63.77,43.342,63.78,66.82,87.514,97.894,48.346,48.34
17,16,3,50000,7.9431335581644085,2.304938132125826,1.5696040882368107,89.81224,0.6151523287671232,2.401030074395117e-05,0.21437659859657288,0.0010146127853428635,0.999259352684021,0.0010146067431905945,0.9992717504501343,43.332,63.728,43.342,63.78,66.82,87.514,98.1,48.346,48.35
17,17,3,50000,8.961476762676611,2.598120964463451,1.7681474449657253,88.02446,0.6029072602739726,2.442842094249859e-05,0.21254530549049377,0.0010146127853428635,0.999259352684021,0.0010146371201310604,0.9992741942405701,43.376,63.762,43.342,63.78,66.82,87.514,98.052,48.346,48.378
17,18,3,50000,8.394169210753171,2.485538789992861,1.6704961647753953,85.83128,0.5878854794520548,2.4015929295422582e-05,0.19123674929141998,0.0010146127853428635,0.999259352684021,0.0010147821396590893,0.9992956519126892,43.314,63.76,43.342,63.78,66.82,87.514,98.118,48.346,48.348
18,14,3,50000,7.478959578102222,2.399294287719822,1.598210118324787,93.8223,0.586389375,2.509088017794439e-05,0.24592027068138123,0.0010146127853428635,0.999259352684021,0.001014657793911112,0.9992710947990417,43.352,63.762,43.342,63.78,66.82,87.514,98.046,48.346,48.378
18,15,3,50000,8.793728031328065,2.492386435987137,1.6940622410996002,91.98144,0.574884,2.507243279485261e-05,0.15892866253852844,0.0010146127853428635,0.999259352684021,0.0010147801511203025,0.9992706179618835,43.346,63.724,43.342,63.78,66.82,87.514,98.002,48.346,48.336
18,16,3,50000,7.614724725917622,2.2682133937304023,1.5277923894999548,87.23124,0.5974742465753424,2.310014069247258e-05,0.17490801215171814,0.0010146127853428635,0.999259352684021,0.0010146567822993317,0.9992712736129761,43.302,63.752,43.342,63.78,66.82,87.514,98.208,48.346,48.292
18,17,3,50000,7.464570166300692,2.216864902721427,1.5047996227027034,85.52294,0.5857735616438356,2.3740614218832398e-05,0.20576782524585724,0.0010146127853428635,0.999259352684021,0.001014758536563737,0.9992707967758179,43.296,63.74,43.342,63.78,66.82,87.514,98.158,48.346,48.32
18,18,3,50000,7.108550781778177,2.1481946002368932,1.4252239875140367,83.41514,0.5713365753424657,2.2586482038191962e-05,0.19108222424983978,0.0010146127853428635,0.999259352684021,0.0010146201627590364,0.9992882609367371,43.374,63.722,43.342,63.78,66.82,87.514,98.21,48.346,48.422
14,14,4,50000,6.897892341069528,2.219047148457321,1.472399211290176,106.36476,0.6043452272727272,4.3697283205065016e-05,0.35562384128570557,0.0010146127853428635,0.999259352684021,0.0010144799801780182,0.9992388486862183,43.338,63.744,43.342,63.78,66.82,87.514,96.694,48.346,48.294
14,15,4,50000,7.721225416020024,2.32892065294669,1.5566002593349548,104.08436,0.5913884090909092,4.3409895471309825e-05,0.3729230761528015,0.0010146127853428635,0.999259352684021,0.0010146434626216276,0.9992474913597107,43.322,63.74,43.342,63.78,66.82,87.514,96.602,48.346,48.3
14,16,4,50000,7.87531596563349,2.427613694157335,1.6548219258562313,98.6231,0.616394375,4.0730002518073963e-05,0.30426132678985596,0.0010146127853428635,0.999259352684021,0.0010145896854597328,0.9992409348487854,43.35,63.768,43.342,63.78,66.82,87.514,96.78,48.346,48.3
14,17,4,50000,7.375939194099629,2.2843580282415497,1.5361071134911617,96.57482,0.603592625,4.15858257974084e-05,0.30450960993766785,0.0010146127853428635,0.999259352684021,0.001014705754263406,0.9992409348487854,43.286,63.774,43.342,63.78,66.82,87.514,96.796,48.346,48.314
14,18,4,50000,7.2301962268856,2.282161678048142,1.5227543284054263,94.0793,0.587995625,3.995099367373413e-05,0.30426132678985596,0.0010146127853428635,0.999259352684021,0.0010145281585707498,0.9992544651031494,43.318,63.798,43.342,63.78,66.82,87.514,96.906,48.346,48.33
15,14,4,50000,8.790698555632844,2.6379326434861285,1.76683535329008,103.5228,0.5881977272727272,4.270216328617838e-05,0.28793221712112427,0.0010146127853428635,0.999259352684021,0.0010143956067849538,0.9992616176605225,43.316,63.77,43.342,63.78,66.82,87.514,96.684,48.346,48.306
15,15,4,50000,9.336481127564038,2.4966043561475817,1.665401953246619,101.3663,0.5759448863636364,4.2042469232627493e-05,0.3124116063117981,0.0010146127853428635,0.999259352684021,0.0010146162169485614,0.9992709755897522,43.348,63.778,43.342,63.78,66.82,87.514,96.686,48.346,48.302
15,16,4,50000,9.05983257940039,2.5162875237487605,1.6983706111690844,96.06498,0.600406125,3.96621014485308e-05,0.28107476234436035,0.0010146127853428635,0.999259352684021,0.0010142300412737252,0.999284565448761,43.296,63.78,43.342,63.78,66.82,87.514,96.874,48.346,48.296
15,17,4,50000,8.80530221841269,2.449871743871481,1.6657689962061704,94.08954,0.588059625,4.023578575778371e-05,0.28162482380867004,0.0010146127853428635,0.999259352684021,0.001014542530616026,0.9992997646331787,43.346,63.744,43.342,63.78,66.82,87.514,96.844,48.346,48.354
15,18,4,50000,8.712603168087954,2.4893498668348184,1.7025673125774483,91.69852,0.57311575,3.9384965324774415e-05,0.28116917610168457,0.0010146127853428635,0.999259352684021,0.0010146003635879924,0.9992425441741943,43.312,63.748,43.342,63.78,66.82,87.514,96.924,48.346,48.292
16,14,4,50000,7.614504036117287,2.3907296521234094,1.5916001579572912,98.39306,0.614956625,4.0898518726070135e-05,0.29387521743774414,0.0010146127853428635,0.999259352684021,0.0010144359798270734,0.9992607235908508,43.344,63.784,43.342,63.78,66.82,87.514,96.716,48.346,48.306
16,15,4,50000,8.221916264504252,2.2905933017848294,1.5243177008334896,96.34776,0.6021735,4.019931939586799e-05,0.3019280731678009,0.0010146127853428635,0.999259352684021,0.001014568687461513,0.9992526769638062,43.306,63.754,43.342,63.78,66.82,87.514,96.82,48.346,48.32
16,16,4,50000,8.12070642720675,2.3766825856416833,1.5874579951641499,91.3971,0.6260075342465753,3.831241665841832e-05,0.28700828552246094,0.0010146127853428635,0.999259352684021,0.0010144091474730494,0.999281644821167,43.356,63.772,43.342,63.78,66.82,87.514,96.856,48.346,48.324
16,17,4,50000,7.741588229915651,2.240052680718072,1.482740636244125,89.53378,0.6132450684931506,3.864415226335004e-05,0.42940282821655273,0.0010146127853428635,0.999259352684021,0.0010144296412307103,0.9992509484291077,43.318,63.736,43.342,63.78,66.82,87.514,96.888,48.346,48.324
16,18,4,50000,8.639968117579702,2.539718716350326,1.7466911022478597,87.25248,0.5976197260273972,3.737932311694951e-05,0.4782680869102478,0.0010146127853428635,0.999259352684021,0.001014493421257132,0.9992296695709229,43.336,63.81,43.342,63.78,66.82,87.514,97.102,48.346,48.324
17,14,4,50000,7.7448881624746715,2.4373784000240266,1.661587259392836,95.90928,0.599433,4.1367535035887684e-05,0.23423928022384644,0.0010146127853428635,0.999259352684021,0.0010144939830155008,0.9993024468421936,43.376,63.744,43.342,63.78,66.82,87.514,96.758,48.346,48.36
